region,per_capita,real_incomes,formal_wage,real_pay,child_mortality,disabled,alco,drug,gross_regional_product,living_area,bad_conditions,no_funds,general_morbidity,congenital_malformation,psychosis,teenage_pregnancy,population,reg_prod_total,retail,welfare,crime_rate,crime_growth_rate,serious_crimes,сrime_geography,life_expectancy,employment_rate,busy_retired,below_the_subsistence_level,poor_elderly,coverage_of_the_elderly,leisure_attendance,children_%,poor_children,poor_employable,poor_retired,cluster
Чеченская Республика,23330.5,99.1,25364.0,88.2,369.0,135625.3,3.55,0.70000005,124347.6,19.2,0.6,0.5539,56308.0,107.8,138.3,1.0,1271048.8,73590426.2,110248.0,27.3,103.8,-0.7,0.25,0.00101,15.2,31.4,64.05,29.0,19.35,11993.0,37.35,42,92204,105708,13082,2
Республика Ингушетия,16064.2,98.2,24857.3,85.1,122.6,42026.5,0.1,1.95,114423.7,27.8,0.0,0.0,67861.8,45.1,95.0,0.0,443265.4,10038200.3,47648.0,25.8,163.4,3.1,0.235,0.00054,21.4,36.55,54.650000000000006,21.7,9.0,2068.0,46.0,37,85286,114835,23728,2
Кабардино-Балкарская Республика,20569.7,98.8,24720.2,88.3,130.3,30001.3,52.85,10.3,158583.5,18.9,0.5,0.0,45707.2,95.8,253.5,4.1,869256.5,87531036.5,145186.0,22.9,595.7,0.6,0.239,0.00353,19.55,26.05,65.6,19.35,22.6,10817.5,39.7,25,91434,146193,17064,2
Республика Дагестан,26623.3,97.9,24190.2,90.1,698.6,216245.0,14.85,9.6,186556.2,22.5,0.8,1.2,79789.4,208.2,360.3,0.0,2832146.3,141726222.2,189148.0,25.2,282.4,-0.6,0.244,0.0059,18.5,24.0,30.5,16.8,13.15,15800.0,35.45,31,334091,494595,43615,1
Республика Тыва,16124.2,100.8,34826.2,90.5,136.4,14097.8,77.100006,12.45,176767.1,13.6,8.5,6.3744000000000005,63618.4,342.0,291.9,5.2,311817.0,56507837.7,71063.0,20.4,2058.4,2.5,0.268,0.00452,14.5,22.3,21.85,13.9,22.6,2521.5,37.0,38,63564,74017,3673,2
Карачаево-Черкесская Республика,18200.2,96.5,24490.8,89.0,71.4,29489.7,26.6,5.7,158584.9,18.3,2.6,1.9829,66186.2,114.7,217.0,0.0,460228.5,86516981.2,81168.0,20.8,780.9,5.1,0.205,0.00251,17.799999999999997,19.05,29.4,11.65,2.9,7322.5,43.75,24,40139,95258,10035,2
Еврейская автономная область,24975.5,96.7,37558.2,91.5,46.1,5092.7,102.95,69.2,293728.4,13.8,0.9,0.0,68677.5,675.8,588.9,13.8,175942.2,47345470.4,144836.0,24.8,1420.8,0.5,0.266,0.00159,15.35,23.7,18.2,10.4,25.35,8480.0,42.75,20,13593,21248,4218,3
Республика Северная Осетия-Алания,23077.5,98.0,25829.3,90.9,102.1,26678.5,44.35,7.2,195909.2,16.4,2.6,0.0,71479.8,551.5,225.5,3.4,703707.3,64881191.3,154792.0,21.4,761.9,3.6,0.17,0.00368,18.05,21.55,22.95,9.3,23.15,15233.5,38.95,22,53876,90413,10527,2
Республика Алтай,19304.2,100.0,29151.8,88.4,59.6,8494.8,70.95,7.35,205304.8,14.4,4.8,0.4675999999999998,89430.0,289.3,317.7,13.3,209046.4,19113418.3,116796.0,17.3,2392.4,-1.1,0.151,0.00355,12.85,20.0,36.55,8.3,21.85,9914.5,25.05,30,30605,36176,1995,3
Забайкальский край,23932.7,98.6,38373.5,90.1,214.3,32195.2,75.399994,9.5,264928.3,17.1,1.8,1.5903,67720.0,219.6,512.4,23.3,1111500.1,376505366.2,148511.0,23.0,2188.5,-4.9,0.24,0.01606,15.45,14.75,21.5,7.65,36.1,5040.5,31.35,23,127707,226737,27530,0
Республика Адыгея,26924.7,100.2,26584.7,91.8,53.7,14467.3,57.0,5.0,211819.6,19.6,3.5,0.0,66094.3,93.2,286.2,0.0,448121.0,116831495.7,200948.0,19.6,717.7,-2.0,0.22,0.00223,18.8,9.55,24.1,6.4,11.45,5612.5,32.95,23,50965,57250,6171,2
Тюменская область без округов,28856.5,99.3,43150.8,91.5,175.9,35415.5,62.2,13.0,669094.8,18.1,3.3,5.5188,63981.4,41.2,428.4,36.0,1394793.5,1972184411.9,244345.0,18.7,1380.0,-4.3,0.178,0.01397,18.9,10.6,23.35,6.1,4.6,5113.5,37.1,25,113655,164035,22491,2
Республика Саха (Якутия),41844.8,100.4,65881.3,95.6,199.1,28345.3,133.95,3.0,863739.7,16.5,5.2,1.935,103609.7,267.9,489.1,19.6,961146.3,1777787629.2,219827.0,14.3,1237.8,-0.5,0.226,0.00816,18.0,34.150000000000006,20.55,6.0,9.65,4556.5,55.95,27,92187,105744,10637,4
Республика Бурятия,24480.3,98.1,34592.3,89.4,172.2,33332.2,44.85,3.35,222082.0,17.2,3.2,2.112,60954.6,86.1,341.6,6.8,979828.2,275115405.1,175619.0,20.8,1964.2,-5.7,0.235,0.01315,16.3,16.95,26.5,5.95,13.7,1487.5,34.3,26,122168,159961,10840,0
Республика Хакасия,21181.5,99.5,36441.7,91.3,97.9,12022.3,78.35,16.5,356057.4,17.9,1.0,0.0,84791.0,285.4,358.0,18.4,538262.6,435210885.0,150800.0,20.2,2122.1,-3.3,0.15,0.00778,18.4,16.9,25.25,5.25,17.85,2106.0,34.95,24,56272,70731,3126,0
Красноярский край,29723.8,99.8,44275.8,93.6,464.7,77572.2,73.85,16.45,638447.0,16.6,1.8,1.2567,78461.0,182.9,594.3,11.5,2889814.4,4511564750.2,184502.0,20.4,1456.1,-4.6,0.221,0.0285,17.75,20.15,16.2,5.15,18.55,11367.0,34.05,21,200703,333011,26910,1
Калининградская область,27261.2,99.2,32327.0,90.8,99.8,23984.2,80.899994,5.25,392286.2,15.6,1.9,0.0,76454.2,390.8,482.0,0.0,964679.6,1240083921.6,163340.0,9.9,947.8,-2.4,0.178,0.00641,18.5,26.25,17.65,4.55,20.9,2677.0,41.75,20,56144,125023,11769,0
Смоленская область,25576.8,98.8,28106.8,90.8,105.8,28491.8,69.600006,7.1,287071.7,19.4,2.8,0.0,70297.7,318.4,306.0,1.7,998553.7,548340956.4,171163.0,22.9,1067.0,-2.8,0.204,0.00694,17.7,19.1,13.75,4.45,30.45,5882.5,28.0,16,67220,103252,23246,0
Иркутская область,24346.8,99.2,40869.8,91.3,430.9,91702.5,83.5,17.45,457792.2,16.3,1.6,1.9608,97599.6,226.1,558.4,5.0,2472794.3,2398210975.0,142186.0,23.0,1497.3,-2.8,0.209,0.02462,15.9,20.0,18.5,4.4,18.5,9373.0,32.05,23,239107,296723,40331,1
Республика Карелия,28694.3,99.6,37844.3,91.4,68.6,17467.3,83.7,6.45,377604.1,17.1,3.4,4.6805,111896.4,470.5,694.4,25.7,660409.9,461885189.0,187859.0,24.3,1582.6,-0.9,0.176,0.00678,15.7,16.65,17.15,4.3,15.95,4640.0,48.2,16,45330,67531,3487,4
Тверская область,25350.8,98.2,29876.5,89.3,166.9,34937.7,42.2,6.0,288166.0,17.5,2.2,1.8876000000000004,88438.6,198.9,774.5,0.0,1373631.7,832012045.9,175691.0,20.5,932.5,-4.1,0.226,0.00822,17.75,22.5,19.35,4.25,19.200000000000003,3649.0,38.6,16,91553,192260,11223,0
Омская область,25742.5,96.9,31826.2,91.2,257.9,49941.8,29.5,7.25,324413.7,16.9,0.8,0.2718,88733.5,266.3,402.1,7.8,2003814.4,1925544564.2,169246.0,26.1,1177.6,-5.2,0.226,0.01579,18.05,23.0,35.5,4.25,28.1,18824.0,32.0,20,148499,215094,19519,1
Пермский край,29534.3,96.3,34850.2,92.0,381.5,67133.3,98.95,12.2,432247.5,16.0,1.5,2.3103,96476.0,526.9,651.3,34.9,2692549.8,3125971681.2,198739.0,21.5,1432.2,-7.6,0.21,0.02558,16.85,12.9,16.3,4.05,12.65,1168.0,42.45,21,192194,253789,17135,1
Ненецкий автономный округ,76707.7,98.9,80050.5,94.4,8.5,1157.0,151.15,1.15,5321754.3,20.9,5.9,0.0,140189.4,901.4,948.4,0.0,42583.7,646325344.1,205996.0,15.0,1658.2,-2.1,0.175,0.0005,16.05,26.4,9.6,4.05,16.45,6669.5,38.5,25,1767,2030,78,4
Псковская область,23780.2,98.1,25903.2,87.8,82.5,18336.0,89.55,5.5,231558.6,15.0,0.1,0.0,68390.8,75.4,443.7,2.3,692141.9,260813003.8,172899.0,21.3,1197.9,1.5,0.27,0.00526,17.8,20.25,19.25,3.7,24.9,9721.0,35.25,16,47531,97952,14934,0
Пензенская область,22056.0,98.3,27877.7,90.7,137.8,33306.0,120.100006,7.45,257893.0,16.9,0.2,0.0,73892.6,83.3,888.3,11.9,1390365.0,499198759.8,152728.0,21.0,897.2,-1.4,0.163,0.00821,18.7,16.8,23.8,3.7,32.65,6397.0,29.05,16,111844,186406,43780,3
Республика Коми,33560.5,96.6,48616.8,89.2,119.4,26045.3,100.15,10.45,660358.8,15.5,8.8,6.588600000000001,109454.3,289.1,680.9,35.4,921096.3,1202452433.4,186469.0,20.5,1955.3,-5.2,0.176,0.01129,16.45,20.6,10.15,3.65,22.6,6591.0,38.8,17,61683,81988,10152,4
Курганская область,20773.8,95.8,27134.2,89.1,145.2,26502.7,81.05,27.55,222136.8,16.7,3.2,0.1305,94561.0,158.7,868.9,12.3,923916.1,280687637.7,132055.0,23.7,1918.3,-8.5,0.199,0.0111,17.45,14.1,19.55,3.55,9.8,8377.0,30.55,18,108115,159703,6586,0
Алтайский край,22480.8,98.1,24598.0,90.0,323.7,62401.5,87.0,17.4,212259.9,18.0,0.3,0.8642000000000001,111208.6,191.0,1397.9,5.0,2453999.7,799482608.9,144555.0,26.3,1600.6,-5.8,0.17,0.02573,17.55,16.2,29.0,3.5,26.35,3746.0,28.9,19,223461,422726,65473,4
Новгородская область,25706.0,95.8,30229.3,90.8,73.8,19206.7,68.15,11.1,370830.6,17.6,0.4,0.0,89095.0,203.2,412.7,14.3,646057.1,446342037.5,183923.0,22.2,1393.7,-4.3,0.236,0.0058,16.7,19.8,20.7,3.35,15.2,5601.0,39.7,18,50518,73825,1638,0
Ростовская область,28582.5,99.5,30170.7,91.3,551.4,166233.0,30.150002,10.15,293898.6,18.2,0.8,0.8280000000000001,80601.6,99.0,285.5,38.9,4297288.4,2144711159.3,211610.0,24.0,889.0,-2.7,0.189,0.02567,18.15,18.55,25.65,3.35,26.65,9523.0,37.0,18,356551,442642,12995,1
Кировская область,22453.3,97.4,26929.0,92.1,153.9,34726.5,52.1,4.0,226936.8,14.9,2.5,0.9234,75075.0,93.9,466.4,21.7,1374954.4,561711524.2,146872.0,23.4,1512.8,-5.5,0.167,0.01328,16.65,18.15,21.5,3.3,13.25,18246.5,37.05,16,135197,184570,11266,0
Калужская область,29652.3,98.2,36595.2,90.3,107.7,27146.7,55.949997,6.4,392559.8,15.5,0.2,0.0,73392.3,111.6,486.6,4.6,1022921.6,1710019101.1,187558.0,17.4,1091.8,0.7,0.252,0.00757,17.8,23.85,11.5,3.3,13.0,43134.5,31.7,18,61717,100017,36514,3
Новосибирская область,28499.3,100.2,34463.3,90.4,326.7,71570.8,31.7,21.25,376551.8,16.3,1.8,1.368,76265.0,120.6,357.5,6.9,2716276.4,1359138831.4,181243.0,21.5,1113.2,-6.3,0.234,0.02109,18.1,19.8,12.3,3.25,24.7,7321.0,37.0,21,231563,417627,29879,1
Хабаровский край,38567.7,98.2,45182.3,88.8,205.9,26790.7,128.5,15.9,471468.3,15.4,1.2,0.532,67013.5,151.9,359.6,2.2,1368812.2,888944164.2,230455.0,21.1,1424.5,-6.8,0.198,0.0129,17.6,24.85,11.2,3.25,12.6,11598.0,47.6,19,85940,160053,16820,4
Ивановская область,24567.8,97.6,24856.7,87.9,116.2,25761.2,78.95,6.7,188614.2,18.1,1.5,0.5360000000000001,88113.7,272.6,592.7,3.0,1076221.2,387112386.8,159397.0,25.5,952.8,-2.7,0.217,0.00664,17.75,18.7,25.65,3.2,11.9,4784.0,36.8,16,157451,157451,16574,0
Амурская область,30861.5,98.9,41014.3,88.0,174.8,25527.0,102.350006,21.55,369814.0,17.3,1.3,1.0731000000000002,83665.5,365.5,481.5,13.4,843491.6,320552034.2,205867.0,23.8,1846.9,-5.3,0.225,0.01007,15.05,19.35,19.0,3.05,31.05,4883.5,44.5,21,84862,125746,10387,0
Республика Крым,20024.2,102.6,28219.0,0.0,107.3,59647.8,55.449997,14.700001,137603.6,19.0,0.7,0.2299999999999999,52444.8,177.4,330.5,5.8,1906416.4,305033214.2,128619.0,13.1,746.4,-0.1,0.203,0.00977,19.2,14.1,30.6,3.0,8.65,7433.0,37.9,20,210426,218721,7422,3
Ставропольский край,22733.2,96.6,28220.5,88.9,368.7,90911.0,24.05,4.0,228542.8,19.0,0.9,0.2916000000000001,57594.1,188.1,241.5,5.1,2770870.1,780695497.4,176767.0,25.7,774.8,-1.1,0.206,0.01486,18.4,20.200000000000003,34.0,2.95,24.8,18555.0,39.85,21,270459,406379,13109,1
Волгоградская область,22899.0,97.7,29850.7,91.8,320.3,65310.3,57.199997,8.0,303052.2,17.9,1.0,0.3993,64322.4,139.5,504.8,4.0,2604571.3,1925352038.0,149410.0,23.8,979.4,-2.6,0.19,0.01694,18.950000000000003,15.55,21.2,2.9,15.15,6475.5,30.6,17,237053,255524,20524,0
Краснодарский край,34074.5,99.4,32387.0,89.9,569.3,160467.3,20.05,4.05,370278.9,18.1,1.2,0.7852,66145.2,138.0,308.6,5.5,5325705.2,2307147673.9,237486.0,21.2,718.4,-1.4,0.206,0.0274,18.2,17.7,37.5,2.9,17.5,10292.5,40.95,22,435345,595968,76435,1
Ульяновская область,23282.8,96.4,27494.7,91.8,166.2,41100.2,100.45,23.0,263697.6,17.9,1.0,0.3036,88122.2,277.1,397.2,0.0,1308110.3,647568267.1,146659.0,24.3,951.9,-3.0,0.212,0.00814,17.6,16.7,18.95,2.9,23.85,2677.5,28.95,17,109002,166058,8800,0
Астраханская область,23899.5,96.6,31866.5,89.9,145.7,19912.0,24.2,0.45,374377.4,19.2,0.8,2.9028,63367.8,332.5,776.7,19.6,1009587.7,784112179.1,169976.0,25.1,1188.1,-3.0,0.182,0.00827,20.450000000000003,18.4,27.05,2.9,9.2,5793.0,34.85,22,86707,107921,11328,3
Саратовская область,21397.5,99.1,26983.2,89.4,309.3,54962.8,51.6,5.75,263612.6,17.8,2.2,0.4921000000000001,74971.0,467.3,488.0,4.2,2545948.9,1090242521.2,141273.0,25.1,886.9,-0.7,0.209,0.015,19.35,12.4,28.25,2.85,42.05,13822.0,23.55,17,238301,357451,15276,1
Томская область,27370.5,97.0,40624.7,92.7,141.8,25091.0,42.550003,8.6,454529.2,16.9,1.9,0.6299999999999999,71028.4,243.2,706.3,14.2,1055317.7,812807562.6,142619.0,20.3,1469.6,-3.1,0.177,0.01081,18.9,14.2,22.5,2.75,36.55,2137.5,32.4,21,81943,105244,6990,0
Вологодская область,27058.5,98.9,34297.8,89.0,156.0,30892.2,50.35,5.95,408392.8,16.9,1.1,0.7072,90274.5,197.5,504.7,1.1,1216547.4,1448579604.4,152469.0,24.5,1512.9,-9.9,0.187,0.01211,16.85,15.45,13.45,2.7,20.0,12333.0,38.95,20,93855,118898,5009,0
Нижегородская область,31542.7,97.2,31838.2,90.0,367.0,83784.3,46.2,7.15,370829.1,17.5,0.5,0.1672,91170.5,442.4,339.8,12.4,3359866.9,3021552046.8,216635.0,21.3,910.8,-1.8,0.214,0.02022,16.95,21.4,16.950000000000003,2.7,13.3,33356.0,25.15,17,173608,353239,20811,1
Оренбургская область,23430.8,97.6,29429.0,92.0,292.5,60729.3,96.55,4.1,418312.6,19.0,1.8,1.273,78544.5,314.5,783.3,17.7,2058515.4,1810758533.3,152342.0,25.0,1251.8,-1.1,0.235,0.01701,15.55,17.95,33.9,2.6,21.75,7110.5,29.85,19,192949,242989,14877,0
Республика Марий Эл,19778.3,98.0,26877.5,92.7,87.0,21943.2,74.95,3.2,233471.7,16.5,1.8,1.8518,92493.8,169.8,534.7,6.0,703025.0,343514388.8,122354.0,20.7,884.0,-3.9,0.209,0.00412,16.5,18.4,22.3,2.6,14.35,6200.0,42.4,20,80938,151759,14312,0
Мурманская область,40922.5,98.6,56300.3,92.0,90.3,11620.7,57.15,7.5499997,588692.7,17.7,2.4,1.8483,85433.1,65.2,485.8,8.5,814891.2,1113866414.3,218586.0,21.5,1177.8,-5.3,0.178,0.00607,19.0,26.6,5.4,2.55,5.5,5028.5,41.85,17,56265,71844,515,4
Кемеровская область,23141.7,98.0,35708.0,92.0,378.6,87793.3,42.0,13.450001,338333.7,16.3,1.0,0.5085000000000001,86666.6,406.4,561.7,4.2,2780152.0,3334814710.3,139066.0,21.6,1790.1,-5.0,0.174,0.03297,16.8,17.2,12.1,2.5,20.450000000000003,39879.5,25.6,20,179907,252866,20392,1
Удмуртская Республика,24368.8,98.9,30437.0,92.1,204.2,40043.2,55.6,7.6,352006.9,14.8,1.9,1.3152,97955.0,200.1,445.5,9.2,1535058.0,1264892712.2,147003.0,19.2,1536.5,-1.8,0.187,0.01591,17.9,15.15,16.25,2.5,10.6,14225.0,49.1,21,160093,152393,8662,0
Чувашская Республика,18919.7,98.9,26226.3,89.6,135.1,29728.8,77.7,1.45,219475.7,14.2,1.2,1.8768,95869.0,533.2,605.6,7.8,1263311.6,475307529.2,123133.0,22.5,967.0,-4.6,0.246,0.00814,18.6,18.15,27.65,2.45,8.8,3172.0,39.7,20,73479,243607,13901,0
Архангельская область без Ненецкого АО,31840.0,97.9,43617.2,92.4,143.4,27432.7,60.0,7.3,381017.2,16.9,1.4,1.2998,100714.8,421.2,674.9,10.4,1198813.4,628293200.0,216157.0,20.8,1450.1,-5.0,0.22,0.01106,17.65,16.25,17.65,2.4,16.45,4704.5,46.75,17,73799,166501,18644,0
Приморский край,33902.0,99.1,41116.7,90.2,300.2,44500.3,69.55,36.55,413839.7,15.7,2.4,1.8796000000000004,71697.2,199.1,666.5,19.8,1983075.6,697299461.5,198118.0,21.7,1309.3,-5.5,0.221,0.01711,18.05,23.450000000000003,25.3,2.35,8.65,7509.5,34.5,18,249836,232710,21155,1
Орловская область,24481.8,98.8,26455.2,89.3,85.1,21922.8,92.3,4.45,276731.8,18.8,1.4,0.0,95950.0,281.4,661.8,9.8,797591.1,270700776.8,167366.0,23.2,757.0,-4.9,0.176,0.00388,17.55,18.3,11.8,2.3,19.65,8018.0,24.3,16,67524,82168,13017,0
Ханты-Мансийский автономный округ - Югра,50059.5,99.9,69360.0,90.5,175.0,27354.5,41.95,9.1,2025254.8,13.9,2.8,5.8128,89524.4,171.1,404.4,15.7,1536470.3,8366578518.6,243729.0,14.8,947.3,-5.8,0.205,0.0106,19.65,24.4,7.9,2.25,4.6,13185.5,45.85,27,66634,51414,1918,4
Рязанская область,25233.3,97.3,30737.5,90.0,120.4,40961.5,54.9,17.150002,305064.8,19.0,0.3,0.138,69944.1,224.7,462.4,1.4,1169859.0,719032061.6,167230.0,19.9,700.5,-4.4,0.228,0.00537,16.05,17.65,13.1,2.05,30.55,6982.0,32.7,16,92197,148760,8223,0
Севастополь,26865.8,109.8,29421.5,0.0,19.4,7732.8,82.3,27.15,152156.8,13.7,1.2,0.0,51587.8,104.3,439.0,24.0,450632.2,51775355.0,138726.0,12.8,693.5,-1.0,0.243,0.00202,20.75,22.8,21.45,2.05,5.15,1489.5,52.65,20,42978,50109,1997,3
Самарская область,28243.0,96.2,32428.2,89.9,294.8,83030.0,47.85,10.6,405392.0,16.9,0.8,0.71,100452.7,339.0,515.5,10.0,3218552.5,3140224565.4,200479.0,22.2,1101.2,-3.3,0.2,0.02404,18.65,24.8,14.65,2.0,21.3,10206.0,39.45,18,209026,303625,53814,1
Белгородская область,30692.5,99.4,30920.3,93.2,139.2,62646.7,43.25,2.75,479672.1,17.8,0.7,0.384,72686.8,126.9,398.6,3.0,1528216.2,1795971572.1,202996.0,14.2,663.3,0.2,0.174,0.00705,14.6,23.8,39.6,2.0,0.65,7537.0,35.95,18,101327,95672,29177,3
Курская область,27167.8,98.6,29162.2,89.8,137.9,52607.7,51.75,4.3999996,327773.9,17.1,0.6,0.7636000000000001,54176.8,162.3,386.7,0.0,1160612.3,706664874.2,180892.0,21.3,1073.7,-3.0,0.173,0.00821,16.45,19.5,20.950000000000003,1.95,9.7,11987.5,25.85,17,73035,126423,13881,3
Московская область,43506.3,99.9,49282.3,91.1,593.3,145221.5,39.95,11.45,493440.4,14.8,1.0,0.957,70404.4,88.7,425.0,2.8,7053719.5,6307575043.0,289690.0,18.4,701.7,-1.5,0.265,0.03574,19.05,28.05,10.65,1.85,22.450000000000003,7117.0,40.45,23,563169,501096,64330,1
Владимирская область,23908.3,98.1,29127.2,91.0,142.8,39919.5,65.9,10.35,288394.0,16.1,0.2,0.153,93964.6,211.8,579.5,16.2,1449905.6,1041373566.5,156336.0,22.2,1031.7,-6.8,0.233,0.00972,16.95,21.4,12.4,1.85,28.45,3606.5,38.3,17,116555,202297,16077,0
Сахалинская область,53568.3,101.2,75366.8,99.8,68.2,9658.8,109.6,19.099998,1736894.9,17.2,0.6,0.0,82027.2,245.8,563.0,34.5,512576.3,1859149842.8,294623.0,13.0,1528.4,-1.5,0.191,0.0051,18.4,34.3,17.7,1.85,24.35,5039.5,43.6,18,43498,41657,11722,4
Ярославская область,27634.7,97.4,32216.3,89.8,116.1,29749.5,56.300003,8.9,367890.3,15.8,0.5,0.0,87847.5,177.2,427.9,214.1,1302403.5,885153070.2,179947.0,20.9,946.4,-4.2,0.24,0.00818,17.6,20.75,9.9,1.75,24.5,17913.5,36.45,18,67305,138831,4853,3
Свердловская область,36207.3,96.9,36702.8,89.9,493.0,104398.7,52.5,14.25,455777.9,15.8,0.9,0.7248,74009.7,95.1,443.3,11.0,4371458.5,4706517492.3,252215.0,21.2,1221.7,-4.1,0.215,0.03606,18.5,17.799999999999997,12.4,1.75,26.75,14698.0,38.25,21,321814,357957,15291,1
Республика Башкортостан,28903.3,97.2,32225.0,90.9,562.8,90049.2,59.15,6.0,345002.9,17.4,0.5,0.9912,84716.1,96.0,425.4,8.7,4070248.9,3259245581.9,210419.0,18.8,1152.5,-5.0,0.168,0.0319,18.45,14.4,24.05,1.7,38.5,3666.0,42.2,22,288894,399120,32420,1
Республика Мордовия,18784.2,99.1,26038.0,94.8,76.7,25393.5,67.45,3.6000001,247903.5,20.0,0.1,0.0,67150.4,192.4,753.6,7.8,841692.0,434236218.9,109921.0,18.4,982.6,-2.1,0.173,0.00542,17.3,18.3,22.05,1.65,14.35,2008.5,31.8,16,66770,152474,30146,3
Липецкая область,29782.0,98.4,30319.5,92.1,115.7,41484.0,72.149994,7.25,396104.6,16.5,0.2,0.6077,66858.9,78.2,482.4,5.1,1178001.8,1488947470.9,209417.0,20.2,855.8,-0.2,0.163,0.00675,16.4,18.05,27.7,1.5,1.55,5504.0,24.55,18,69266,102687,1385,3
Брянская область,26015.5,98.4,26399.2,89.0,154.4,39156.0,87.2,8.4,241853.3,24.1,0.1,0.0,77822.6,180.8,471.1,8.4,1288930.1,512286975.2,196210.0,23.5,998.7,-0.1,0.185,0.00832,17.25,16.5,17.950000000000003,1.4,36.85,3603.0,36.6,17,115488,133018,9538,3
Республика Татарстан,33778.3,98.4,34007.7,91.3,447.3,109575.2,50.65,9.9,522004.7,16.2,0.7,2.175,79905.3,159.1,361.0,42.7,3818847.6,5312147104.9,223452.0,12.0,907.9,-2.9,0.209,0.02409,18.55,16.8,27.25,1.25,0.15,3842.0,50.25,21,214925,259445,37356,1
Воронежская область,30422.8,98.1,30077.0,89.1,216.3,76925.0,74.8,22.85,338926.4,19.9,0.9,0.5680000000000001,54782.6,95.3,637.4,8.5,2352667.2,1228938911.0,222932.0,19.2,808.7,-0.9,0.205,0.01291,17.65,20.75,19.05,1.2,23.8,1073.5,27.5,17,130079,315841,10498,0
Тамбовская область,26593.8,97.1,25865.5,90.9,105.1,37932.2,44.2,5.05,282504.6,19.7,0.6,1.0404,64812.8,143.0,479.4,1.5,1102662.4,368012138.7,185065.0,20.3,1098.3,3.5,0.167,0.00783,17.2,16.5,45.75,1.2,13.35,4551.0,29.1,14,64644,113657,14665,3
Костромская область,23997.8,98.2,26784.0,90.1,90.9,20876.7,64.45,9.549999,253627.1,14.5,1.5,0.0,74140.0,160.5,442.2,16.9,682643.5,351160723.0,152587.0,19.2,1200.6,-5.1,0.201,0.00529,16.75,16.4,15.05,1.2,8.5,41863.0,45.3,18,58288,78156,9642,3
Республика Калмыкия,17105.7,100.4,25170.8,90.2,47.9,10852.0,44.6,0.35,225079.1,20.2,0.0,0.0,68861.1,89.9,494.6,0.0,287282.5,9786325.0,74043.0,21.8,969.8,2.5,0.173,0.00184,17.9,24.35,31.1,1.1,17.6,7261.5,49.7,23,40588,79135,360,2
Ленинградская область,30088.2,102.3,41325.3,92.2,118.5,41764.0,35.05,9.05,502041.4,17.0,3.0,3.8308,64176.6,103.2,472.7,8.0,1745146.8,2455780657.4,209093.0,16.1,652.5,-4.1,0.277,0.00803,18.65,23.4,13.3,0.95,5.35,3137.5,45.4,17,71289,240508,63785,2
Тульская область,27441.8,98.1,33716.0,91.3,160.2,54461.0,66.65,9.45,336151.8,16.6,0.8,0.0,72066.1,122.9,475.1,6.6,1575200.3,1606519169.5,184551.0,22.5,699.1,-1.6,0.237,0.00716,17.200000000000003,24.3,14.2,0.8,7.85,13582.5,31.65,15,96566,139374,13191,3
Челябинская область,24744.8,96.9,34139.5,93.8,433.1,79970.8,68.649994,23.2,348255.9,16.0,0.8,0.525,87331.7,416.6,747.8,14.2,3520981.4,3395338540.8,156457.0,21.7,1507.3,-2.3,0.214,0.03602,18.3,22.65,13.75,0.7,23.75,6230.5,41.7,21,258743,340317,38238,1
Ямало-Ненецкий автономный округ,78070.5,102.2,93313.3,94.1,90.5,7700.7,93.3,16.5,3773326.6,15.5,1.7,5.0091,113972.4,283.5,650.8,17.2,525722.2,5569599538.5,249421.0,13.1,1066.7,-5.0,0.204,0.0039,18.0,30.45,7.199999999999999,0.6,4.6,5193.0,36.0,24,15551,14758,213,4
Москва,68295.0,99.9,81277.7,90.1,934.2,281681.7,21.25,9.1,1206052.2,13.8,0.5,4.096,63887.4,139.1,335.7,0.0,11472290.8,18317137700.6,381303.0,17.0,349.7,-3.7,0.401,0.02968,21.1,26.950000000000003,6.2,0.6,8.8,20987.5,51.45,19,581507,734456,199893,1
Магаданская область,58826.8,100.9,82467.5,92.8,26.4,2611.5,147.75,8.299999,1002816.3,13.8,0.2,0.0,68714.8,191.5,502.7,0.0,162743.8,371224849.6,214824.0,11.7,1674.6,-8.2,0.233,0.00165,18.85,41.65,15.2,0.55,20.0,5790.5,39.5,17,8943,16838,3350,4
Чукотский автономный округ,75961.8,101.5,97464.2,96.3,19.5,1062.8,231.4,1.0,1392794.6,14.1,1.9,0.0,118067.2,205.4,1158.3,55.9,52577.1,187491615.1,168238.0,6.6,1557.6,0.9,0.204,0.00053,17.25,56.4,3.2,0.5,10.3,6219.5,38.5,23,2935,3154,169,4
Камчатский край,48132.0,100.4,70722.8,96.2,48.4,5881.8,62.8,7.1499996,628539.0,15.9,3.0,4.466,79468.6,295.9,600.6,8.3,332286.5,342279033.3,176962.0,13.9,1490.5,-2.6,0.185,0.00321,17.95,33.8,16.9,0.3,4.449999999999999,21956.5,51.05,18,28453,34397,3941,4
Санкт-Петербург,43499.0,101.1,56931.7,92.5,413.8,120839.7,15.65,9.549999,693709.2,15.7,0.1,0.4815,97324.2,242.3,413.3,9.0,4974375.8,5654678872.5,251650.0,15.7,482.0,-1.9,0.308,0.01745,16.45,26.450000000000003,7.25,0.05,4.05,12550.5,59.45,18,177700,446669,67761,1
